id,x,y,Floor,Occupancy,type,area,vid
158654,91.79642124,22.35805356,1,COM1,MHPHUD,39.7377,578
158655,91.79625811,22.35786724,1,COM1,MHPHUD,17.1459,578
158656,91.7963337,22.35791173,1,COM1,MHPHUD,20.257,578
158657,91.79613899,22.35805526,1,COM1,MHPHUD,17.1608,577
158658,91.79622643,22.35805154,1,COM1,MHPHUD,154.401,578
158659,91.79622705,22.35800397,1,COM1,MHPHUD,37.5852,578
158660,91.79539114,22.35811195,1,COM1,MHPHUD,32.3755,579
158661,91.79554685,22.35796861,1,COM1,MHPHUD,55.7678,577
158662,91.79565929,22.3580389,1,COM1,MHPHUD,27.9389,577
158663,91.7957063,22.35800516,1,COM1,MHPHUD,24.5072,577
158664,91.79577199,22.35800964,1,COM1,MHPHUD,61.1385,577
158665,91.79574895,22.35797419,1,COM1,MHPHUD,28.9864,577
158666,91.79595754,22.35792727,1,COM1,MHPHUD,35.2777,577
158667,91.79585969,22.35798874,1,COM1,MHPHUD,23.2968,577
158668,91.79583496,22.35789135,1,COM1,MHPHUD,19.4672,577
158669,91.79523075,22.35740078,1,COM1,MHPHUD,17.0634,579
158670,91.79537001,22.35740216,1,COM1,MHPHUD,48.5721,577
158671,91.79664576,22.3564551,1,COM1,MHPHUD,13.1932,578
158672,91.79660248,22.35652323,1,COM1,MHPHUD,6.3882,578
158673,91.79649846,22.35644452,1,COM1,MHPHUD,124.8368,578
158674,91.79639074,22.35647289,1,COM1,MHPHUD,125.2875,578
158675,91.7964298,22.35661649,1,COM1,MHPHUD,124.9359,578
158676,91.79629712,22.35654439,1,COM1,MHPHUD,76.5406,578
158677,91.79851436,22.35839724,1,COM1,MLRM1,63.6263,578
158678,91.79843618,22.35833879,1,RES1,MSF1,55.2747,578
158679,91.79736761,22.35812325,1,RES1,MSF1,22.9826,578
158680,91.79756921,22.35824367,1,RES1,MSF1,123.3554,578
158681,91.79772082,22.35838633,1,RES1,MSF1,147.3647,578
158682,91.79720545,22.35853526,1,RES1,MSF1,157.363,578
158683,91.79750863,22.35855643,1,RES1,MSF1,167.0893,578
158684,91.79748315,22.35843973,1,RES1,MSF1,48.0511,578
158685,91.79722745,22.35839796,1,RES1,MSF1,55.8367,578
158686,91.79723992,22.35832093,1,RES1,MSF1,160.6876,578
158687,91.79728812,22.35824948,1,RES1,MSF1,154.3916,578
158688,91.79726083,22.35818401,1,RES1,MSF1,24.1419,578
